wordnet_id,core_synset,definition,core_lemma
138508,change_by_reversal.v.01,change to the contrary,change_by_reversal
192051,deaden.v.06,"make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation",deaden
213186,handover.n.01,act of relinquishing property or authority etc,handover
232386,cancellation.n.01,the act of cancelling; calling off some arrangement,cancellation
232765,attainder.n.01,cancellation of civil rights,attainder
258857,damage.v.01,inflict damage upon,damage
283090,dye.v.01,color with dye,dye
285141,sleepwalking.n.01,walking by a person who is asleep,sleepwalking
399030,transformation.n.04,(genetics) modification of a cell or bacterium by the uptake and incorporation of exogenous DNA,transformation
440189,plate_glass.n.01,"Float glass is a type of smooth, flat glass created by floating molten glass on a bed of molten metal, typically tin, producing high-quality glass sheets with uniform thickness and very flat surfaces.",float glass
445169,solidify.v.02,become solid,solidify
486490,mumblety-peg.n.01,a game in which players throw or flip a jackknife in various ways so that the knife sticks in the ground,mumblety-peg
487072,peekaboo.n.01,a game played with young children; you hide your face and suddenly reveal it as you say boo!,peekaboo
487326,post_office.n.03,a children's game in which kisses are exchanged for pretended letters,post_office
489837,quantify.v.02,express as a number or measure or quantity,quantify
646833,chemical_analysis.n.01,the act of decomposing a substance into its constituent elements,chemical_analysis
708860,room.n.01,"A precious or semi-precious stone that is cut, polished, and used in a piece of jewelry.",jewel
717208,painting.n.03,the act of applying paint to a surface,painting
717468,spraying.n.03,the application of a liquid in the form of small particles ejected from a sprayer,spraying
735254,candy.n.01,"A space within a building enclosed by walls, a floor, and a ceiling, used for a variety of purposes.",room
762478,negociate.v.05,confer with another in order to come to terms or reach an agreement,negociate
825443,martial_art.n.01,any of several Oriental arts of weaponless self-defense; usually practiced as a sport,martial_art
831919,artificial_respiration.n.01,an emergency procedure whereby breathing is maintained artificially,artificial_respiration
896677,legitimate.v.02,show or affirm to be just and legitimate,legitimate
936620,painting.n.02,creating a picture with paints,painting
974367,announce.v.01,make known; make an announcement,announce
993014,write.v.02,communicate or express by writing,write
995855,electromagnetic_intrusion.n.01,the deliberate insertion of electromagnetic energy into transmission paths with the objective of confusing or deceiving operators,electromagnetic_intrusion
1113367,ace.v.02,score an ace against,ace
1171644,fencing.n.03,the art or sport of fighting with swords (especially the use of foils or epees or sabres to score points under a set of rules),fencing
1209135,hit.v.05,"affect or afflict suddenly, usually adversely",hit
1317294,draft_animal.n.01,an animal used for pulling heavy loads,draft_animal
1317533,owner.n.02,"a person or organization receiving professional services from a company or an individual, usually for a fee.",client
1321854,young_mammal.n.01,any immature mammal,young_mammal
1377758,aerosolize.v.01,disperse as an aerosol,aerosolize
1474832,gymnosperm.n.01,plants of the class Gymnospermae having seeds not enclosed in an ovary,gymnosperm
1516071,boost.v.05,"push or shove upward, as if from below or behind",boost
1566705,bang_up.v.01,damage or destroy as if by violence,bang_up
1640855,carry_through.v.01,put in effect,carry_through
1668603,work.v.05,"shape, form, or improve a material",work
1678990,housing.n.01,"A movable dwelling built on a chassis and equipped with wheels, designed for temporary or permanent residence.",trailer home
1699831,dinosaur.n.01,any of numerous extinct terrestrial reptiles of the Mesozoic era,dinosaur
1707698,iguanodon.n.01,massive herbivorous bipedal dinosaur with a long heavy tail; common in Europe and northern Africa; early Cretaceous period,iguanodon
1727942,contestant.n.01,"a person who is trained or skilled in exercises, sports, or games requiring physical strength, agility, or stamina.",athlete
2045760,association.n.01,a formal organization of people or groups of people,association
2075049,scat.v.01,flee; take to one's heels; cut and run,scat
2075764,skedaddle.v.01,"run away, as if in a panic",skedaddle
2241569,heteropterous_insect.n.01,true bugs: insects whose forewings are membranous but have leathery tips,heteropterous_insect
2720725,antihistamine.n.01,a medicine used to treat allergies and hypersensitive reactions and colds; works by counteracting the effects of histamine on a receptor site,antihistamine
